temp,humidity,rainfall,solar_radiation,soil_bdod,soil_cec,soil_cfvo,soil_clay,soil_sand,soil_silt,soil_nitrogen,soil_ocd,soil_ocs,soil_phh2o,soil_soc,soil_wv0010,previous_crop,previous_fertilizer,fertilizer_amount,cultivation_break,yield
34.55,84.45,450.1,17.88,135.7,24.13,12.27,341.8,479.3,210.1,159.4,60.5,59.6,7.41,23.23,18.43,soybean,urea,121.1,2,3.62
32.49,82.48,1125.1,18.07,147.9,20.71,14.68,183.9,554.7,125.2,189.2,77.6,109.7,7.72,10.09,34.69,fallow,organic,135.7,0,3.77
23.19,41.77,511.4,18.53,127.7,22.71,7.53,157.5,388.5,115.7,99.9,35.2,106.3,6.04,20.45,24.37,cotton,DAP,211.8,0,1.32
22.73,71.75,825.9,21.21,145.7,13.93,6.82,251.3,570.8,176.0,125.5,72.5,49.0,8.38,10.31,32.35,corn,NPK,67.7,0,2.72
22.75,81.64,728.9,18.34,130.4,14.23,11.3,359.7,608.9,122.3,52.1,75.4,86.2,7.42,9.17,31.98,fallow,urea,127.3,1,2.81
24.56,48.13,677.9,22.33,155.4,10.83,1.99,172.4,489.3,131.1,51.0,60.2,36.5,8.04,23.89,25.23,cotton,NPK,67.1,3,2.39
27.87,65.56,1119.9,19.05,155.8,16.44,8.2,123.6,547.1,343.9,86.0,75.9,105.3,7.12,5.39,29.13,wheat,organic,77.9,1,2.21
26.48,81.2,417.5,15.68,131.9,21.19,8.19,206.9,482.5,111.7,65.1,43.9,45.7,6.74,24.31,18.86,sorghum,DAP,50.9,0,1.91
24.37,41.53,931.0,22.84,129.2,27.16,1.34,324.3,657.6,297.7,89.0,77.2,36.4,8.43,7.99,28.77,fallow,urea,51.9,0,2.44
29.18,71.38,1170.7,17.86,136.5,23.34,6.27,265.2,499.1,181.8,76.6,62.2,66.0,7.25,21.39,20.45,fallow,urea,126.1,1,2.72
22.09,53.38,848.1,19.33,129.6,18.71,12.8,345.0,636.7,361.5,54.3,22.5,81.9,8.1,10.52,31.64,cotton,urea,211.8,0,2.49
24.38,81.6,1149.5,21.85,146.9,29.06,12.84,387.9,620.5,245.5,186.4,74.4,106.9,8.36,12.01,16.67,cotton,NPK,167.4,0,3.22
25.5,83.7,441.8,18.32,153.0,24.38,1.49,337.8,464.2,191.7,51.2,49.1,117.7,7.53,9.34,30.46,sorghum,organic,177.0,1,2.45
26.84,82.49,735.0,15.57,146.9,28.6,1.36,281.1,392.0,255.3,160.4,47.6,69.6,7.15,16.71,17.0,cotton,DAP,153.8,3,2.88
31.78,61.34,608.1,18.74,153.0,20.55,3.94,248.0,462.4,214.6,72.8,54.0,35.4,5.51,11.96,32.62,cotton,organic,214.0,1,2.45
23.0,78.79,984.7,24.44,135.9,15.18,13.12,112.0,630.5,269.3,186.8,29.0,97.4,5.62,18.15,21.08,fallow,urea,226.1,0,3.83
27.71,78.0,1185.0,21.42,126.3,11.06,1.93,395.3,391.1,134.4,183.9,48.1,80.9,6.1,5.31,28.09,sorghum,organic,219.9,2,3.15
28.89,54.36,605.2,21.71,149.5,24.52,10.8,215.0,509.8,399.1,148.1,69.9,70.3,6.06,6.29,24.75,sorghum,NPK,212.4,2,2.7
20.7,77.3,923.3,21.32,134.4,12.43,1.52,145.7,622.4,227.7,150.8,20.9,57.8,6.26,6.99,22.33,fallow,none,86.5,2,2.57
29.11,41.67,558.5,16.99,146.9,16.06,9.35,300.0,441.4,204.5,50.8,36.4,75.2,6.41,13.38,27.91,wheat,none,168.8,0,1.56
22.56,66.83,852.3,19.18,130.8,20.65,5.34,185.3,556.9,313.1,197.7,20.1,60.5,6.58,21.3,33.95,wheat,DAP,166.4,1,2.63
20.98,50.35,771.1,22.51,123.2,21.29,11.83,275.7,398.3,209.2,181.7,44.9,98.1,6.76,22.76,15.83,fallow,DAP,155.6,3,3.18
34.23,45.43,1177.6,16.01,159.7,22.01,3.51,276.0,343.7,350.0,184.3,63.7,79.0,5.8,9.9,33.38,cotton,organic,146.2,0,1.98
34.48,43.46,886.8,17.78,126.2,13.33,9.59,233.7,617.8,236.3,148.9,67.9,108.9,5.63,16.49,27.18,corn,DAP,67.8,1,2.18
32.13,71.33,679.6,17.76,159.5,17.59,3.54,350.8,339.6,315.9,101.7,76.7,78.9,7.52,20.37,31.15,wheat,NPK,70.4,0,2.85
24.57,55.29,491.3,19.32,159.1,22.34,10.7,179.5,408.6,132.2,184.0,56.5,51.4,7.11,10.78,22.68,wheat,urea,230.5,1,2.78
21.47,72.61,521.0,24.8,151.8,29.4,13.11,234.6,642.0,353.8,93.7,35.3,106.6,6.83,13.18,24.44,fallow,urea,176.0,2,3.25
30.26,42.94,580.3,15.68,146.4,24.55,1.9,261.3,438.6,320.7,134.4,75.4,80.1,7.4,15.48,32.38,fallow,organic,102.5,1,2.12
26.6,54.19,600.8,20.19,143.1,28.45,13.0,299.1,689.2,163.5,65.0,66.5,48.6,7.98,7.7,23.3,corn,urea,105.9,2,2.66
21.83,64.28,1080.5,16.79,154.6,25.24,8.9,335.2,691.9,143.6,188.3,54.5,86.1,6.78,5.52,25.69,corn,organic,172.0,1,2.75
27.43,75.58,849.0,24.71,131.6,21.83,1.91,218.4,407.3,194.9,71.1,61.7,62.2,7.42,8.06,15.4,sorghum,DAP,131.4,3,3.11
20.52,54.34,818.7,16.13,138.7,13.84,6.41,293.8,316.4,392.8,83.7,75.5,106.0,8.36,17.54,18.17,fallow,DAP,138.3,1,3.07
33.64,68.17,491.8,19.04,144.8,23.33,2.41,145.2,582.0,177.0,133.7,62.7,70.8,8.02,6.47,27.83,wheat,NPK,62.1,0,2.57
23.88,79.87,1088.1,22.38,136.4,22.47,10.51,379.8,480.4,236.8,164.6,42.1,95.4,6.78,8.79,29.34,soybean,urea,77.7,1,3.01
29.94,67.71,978.3,22.05,137.1,22.05,11.38,214.9,340.3,109.0,142.9,62.8,38.6,7.43,11.76,26.65,soybean,NPK,128.7,2,3.54
24.68,50.48,454.1,19.23,133.2,19.8,1.59,318.9,583.0,219.2,84.8,22.4,65.6,6.03,6.56,17.87,cotton,none,189.9,2,1.4
27.8,41.1,966.3,18.47,142.6,20.57,7.59,106.1,312.5,271.4,50.1,43.2,118.5,7.18,8.83,23.91,wheat,NPK,59.6,1,2.16
28.2,79.15,834.8,18.98,154.0,16.69,12.22,161.6,648.1,385.9,163.6,44.4,102.8,8.44,23.23,22.1,soybean,organic,116.9,1,4.06
22.77,40.96,465.4,17.64,128.1,20.39,14.04,246.1,355.5,255.0,197.8,30.0,44.4,7.05,5.39,24.91,wheat,organic,189.0,2,1.98
34.54,79.36,766.6,17.05,157.4,13.95,7.7,363.5,350.9,345.7,171.5,21.4,55.0,8.28,18.07,32.41,fallow,NPK,208.4,2,3.56
31.63,63.8,787.8,19.83,147.6,26.1,14.25,258.2,370.3,264.1,119.0,28.0,59.7,6.72,12.69,30.52,wheat,DAP,88.0,1,2.73
34.09,82.26,532.6,17.69,152.9,13.72,8.04,379.0,684.1,112.2,185.6,59.3,88.5,8.5,18.45,16.68,soybean,none,196.3,2,3.34
33.42,75.95,1156.6,17.87,142.2,11.7,5.91,245.1,577.3,194.5,111.5,68.1,98.1,7.24,16.77,32.81,wheat,NPK,241.1,1,3.3
28.97,84.91,1080.0,21.57,151.2,18.72,12.72,247.1,620.5,272.7,128.7,79.3,97.5,5.63,9.47,24.44,corn,DAP,231.4,0,3.61
33.83,55.78,935.2,24.69,120.6,23.17,7.39,135.9,459.1,385.2,121.6,40.8,75.9,7.26,21.94,29.88,cotton,NPK,207.9,0,2.84
21.33,74.52,769.8,21.04,152.7,18.75,7.08,340.8,434.5,357.7,117.1,56.0,103.0,6.32,14.84,17.8,sorghum,urea,192.5,3,3.3
22.94,58.09,729.4,15.77,121.6,15.54,7.35,174.1,393.8,168.5,166.3,76.2,69.3,5.6,21.45,28.41,soybean,organic,97.0,0,2.24
20.68,61.59,920.8,15.76,155.6,21.16,12.7,369.9,492.3,166.0,129.0,30.0,41.1,7.96,13.12,19.73,fallow,urea,176.8,1,2.87
24.88,68.24,836.3,24.51,159.7,16.94,12.48,373.2,520.7,160.4,97.5,63.1,80.8,6.33,24.69,23.77,sorghum,urea,178.7,3,3.79
25.83,79.32,449.8,17.97,131.8,28.66,6.05,383.0,552.7,376.7,88.7,65.3,115.7,7.89,20.41,15.34,cotton,none,131.4,0,1.96
24.07,84.28,810.0,15.92,128.4,28.45,5.0,256.1,402.8,355.8,55.7,25.3,101.4,6.36,24.32,18.03,corn,DAP,148.6,2,2.7
32.43,74.57,1045.1,20.99,150.6,20.05,7.38,303.1,679.5,332.5,137.5,71.7,82.1,6.08,15.29,16.84,corn,organic,188.8,2,3.33
25.35,58.8,767.4,21.24,130.1,16.56,8.59,333.6,367.9,217.8,84.5,68.8,88.2,8.42,14.47,19.79,corn,urea,240.4,3,3.44
24.21,58.96,441.6,21.49,154.6,24.74,3.58,139.3,686.3,251.3,72.2,22.0,113.8,6.58,20.11,17.0,corn,organic,109.1,0,2.52
28.14,73.19,1029.0,17.67,124.1,10.73,11.91,280.3,305.9,239.3,148.1,25.5,68.6,7.3,22.61,28.84,soybean,DAP,99.3,0,3.2
22.11,50.74,561.1,15.15,125.0,19.5,7.3,110.3,492.5,176.0,152.2,22.9,59.8,7.33,24.28,15.58,soybean,NPK,170.4,3,3.05
32.03,44.97,606.9,24.65,159.2,16.73,5.01,249.3,433.3,251.5,162.8,40.1,118.0,7.18,11.49,27.35,wheat,urea,76.2,0,3.07
21.12,55.96,531.8,17.51,147.0,28.41,1.6,146.5,479.6,109.1,125.5,50.6,107.7,8.24,20.97,17.81,fallow,DAP,166.5,1,2.59
34.8,52.93,664.2,21.76,153.9,10.24,3.58,154.9,528.3,139.5,184.1,51.9,59.1,7.52,9.21,33.9,wheat,organic,67.8,2,2.89
31.58,53.33,1005.4,22.07,133.0,21.06,14.24,209.5,474.2,366.0,190.5,36.1,71.7,6.71,15.91,33.66,fallow,DAP,148.1,0,3.72
22.98,50.51,815.5,21.1,147.1,24.81,4.58,229.7,465.9,325.5,171.1,74.7,67.4,8.09,8.6,19.51,cotton,NPK,174.1,3,2.82
20.08,41.89,563.9,18.13,143.8,19.7,2.53,287.0,593.1,226.9,145.3,42.1,43.4,6.04,11.95,27.29,wheat,DAP,64.0,1,2.27
32.23,40.8,1102.3,17.71,144.1,11.71,6.91,122.3,574.4,255.1,95.6,22.7,116.2,7.13,23.63,15.56,cotton,organic,91.4,0,1.92
30.6,84.45,1103.7,20.98,147.3,29.45,4.61,251.1,633.3,211.0,197.4,38.0,66.4,8.35,7.92,33.64,cotton,urea,117.1,0,3.25
30.94,59.25,1096.5,23.66,143.0,20.36,0.53,154.8,400.0,322.2,91.1,51.9,108.8,7.38,17.65,25.46,cotton,urea,123.7,0,2.28
31.57,57.29,591.0,24.47,137.2,22.28,4.85,272.2,543.8,335.3,80.4,44.5,47.0,7.95,16.86,15.86,corn,none,185.2,0,2.27
21.11,70.58,761.0,16.06,131.0,14.73,8.16,291.2,534.1,329.0,116.3,36.4,79.3,7.46,7.41,21.85,sorghum,organic,155.8,2,2.86
25.38,49.82,1188.0,16.55,150.7,19.67,8.28,267.0,447.9,316.8,58.5,27.9,32.2,8.02,11.52,16.54,sorghum,none,126.4,0,1.98
21.74,82.75,1017.6,24.45,129.1,18.58,5.35,321.5,494.4,161.4,196.8,69.1,98.8,8.33,16.26,22.86,soybean,none,140.1,0,3.27
32.95,75.39,421.7,22.37,147.7,11.5,6.71,200.7,425.5,201.4,138.3,79.8,82.3,6.32,8.74,28.4,cotton,NPK,52.6,3,2.77
29.35,44.02,452.2,23.83,129.3,12.12,14.48,329.5,356.7,241.0,133.5,39.8,86.3,6.01,21.01,24.4,corn,organic,204.1,1,2.73
24.96,58.79,771.1,17.03,145.0,26.75,5.66,229.8,385.5,199.2,148.4,42.9,34.7,6.95,24.44,22.67,wheat,urea,58.2,0,2.23
20.95,79.56,1127.4,20.88,149.9,14.8,3.87,245.3,342.2,326.5,124.6,57.1,49.0,7.61,9.3,17.38,wheat,organic,215.9,3,3.3
24.66,82.51,831.0,22.01,128.7,13.9,3.65,294.4,573.2,198.8,54.8,63.1,36.7,6.18,8.74,19.9,soybean,NPK,158.2,0,2.44
24.88,61.03,798.3,21.8,122.4,20.1,6.87,105.5,564.3,141.5,141.8,43.5,56.0,5.51,14.1,17.0,soybean,organic,155.6,3,3.51
30.94,67.6,484.4,19.08,125.2,25.37,11.39,296.2,680.2,219.7,157.4,74.3,86.5,6.53,19.96,31.15,cotton,organic,190.9,2,3.1
29.56,47.52,925.4,15.15,144.2,11.24,3.09,285.6,591.9,394.0,112.5,53.6,81.0,8.41,10.63,17.7,cotton,none,221.9,2,1.99
33.31,84.6,1057.7,20.83,154.0,21.54,10.64,193.0,320.8,167.8,163.6,47.0,85.1,7.58,5.4,26.91,wheat,organic,238.5,2,3.79
27.08,50.43,704.3,17.53,121.8,12.38,0.32,125.7,653.7,283.6,84.1,58.8,79.4,6.7,15.82,21.85,wheat,none,158.7,1,2.12
21.79,82.42,1020.5,19.5,149.4,10.73,6.28,127.3,645.1,229.9,83.2,77.2,54.6,6.08,24.13,19.52,wheat,none,80.1,2,3.21
30.7,69.23,1171.6,24.58,133.7,11.05,11.64,377.0,477.3,121.3,74.2,67.7,52.0,6.57,12.83,27.79,wheat,DAP,225.7,2,4.22
31.41,67.35,563.0,18.99,139.1,26.68,5.08,306.8,534.3,246.4,105.8,22.4,42.3,6.01,13.4,24.14,sorghum,NPK,58.1,0,2.56
28.42,63.07,818.7,23.4,157.2,12.36,8.46,138.1,690.4,310.6,177.1,39.9,106.4,5.82,24.38,23.0,cotton,none,211.5,1,2.62
31.56,50.38,629.7,16.89,133.3,10.9,3.07,207.0,512.9,254.0,174.2,48.2,85.5,8.22,18.89,26.86,cotton,organic,186.1,2,2.39
27.41,47.94,1034.3,21.72,138.6,18.76,11.13,277.7,662.1,361.6,107.4,38.9,46.8,8.49,19.38,24.83,wheat,none,230.9,1,3.1
27.84,49.92,862.1,24.77,120.5,26.88,0.78,350.7,333.2,186.7,138.4,62.0,45.9,5.99,16.25,21.07,corn,none,229.5,2,2.95
26.41,48.39,907.7,16.02,123.3,15.25,12.79,113.1,376.4,125.9,158.1,69.6,108.6,5.66,24.49,26.18,wheat,none,60.6,1,1.86
20.38,75.08,1038.3,15.08,130.3,18.43,2.97,171.0,476.3,381.0,86.2,63.9,96.8,6.49,18.78,28.39,fallow,urea,171.9,1,2.76
21.62,55.76,716.8,19.34,121.1,10.8,13.12,366.9,533.9,213.5,75.2,79.4,89.3,6.88,22.9,15.53,soybean,urea,74.9,0,3.05
20.47,42.6,1132.1,15.93,145.3,18.98,5.29,102.7,626.5,272.9,195.8,36.4,66.6,6.11,18.99,24.32,fallow,urea,65.7,0,2.67
29.55,83.61,826.4,22.48,137.1,21.55,10.84,160.4,695.3,337.6,142.6,72.5,53.6,6.4,19.7,16.15,corn,urea,139.7,1,2.93
24.72,79.77,526.4,24.15,141.9,21.42,4.79,387.7,455.5,197.3,197.2,66.0,118.2,6.1,10.81,18.73,soybean,DAP,69.5,1,3.07
27.63,81.75,956.7,19.34,127.0,16.65,13.59,284.0,319.0,314.8,100.7,41.7,101.8,7.82,11.07,26.21,corn,none,195.6,1,2.95
33.61,84.77,1034.6,17.59,131.8,16.31,1.9,178.5,620.5,140.6,155.5,64.0,57.2,7.64,20.66,32.32,soybean,DAP,243.8,2,4.1
23.74,47.83,653.4,19.34,146.6,12.13,2.68,120.1,541.8,187.4,83.4,26.2,106.3,7.4,10.93,32.66,wheat,organic,163.9,1,1.89
26.16,57.83,1085.7,22.23,158.6,17.34,7.4,108.5,379.4,143.4,89.2,67.4,98.3,6.66,16.26,16.4,wheat,NPK,97.0,2,3.0
31.33,74.12,1124.9,15.09,122.0,11.99,1.23,173.4,497.9,343.4,126.8,51.9,56.7,8.23,9.99,23.38,corn,DAP,218.6,0,3.06
23.43,71.32,621.5,20.89,155.6,25.33,2.94,364.4,596.9,166.8,97.9,37.5,68.4,8.41,21.34,26.66,soybean,urea,220.6,1,3.21
21.15,46.93,1186.8,21.13,143.1,29.33,14.16,224.8,608.2,315.2,75.1,59.3,46.7,6.02,7.21,17.94,sorghum,urea,196.6,0,1.78
24.35,76.71,512.6,21.38,142.6,29.4,14.65,316.1,499.8,383.0,89.4,58.5,40.0,6.17,21.59,30.31,corn,organic,173.0,1,2.74
22.42,50.1,561.6,17.42,140.0,27.3,5.64,375.5,422.1,258.3,55.4,32.6,95.0,7.08,17.05,29.88,corn,none,223.6,0,2.17
33.95,50.07,547.4,22.14,122.8,22.02,13.85,222.4,689.5,262.0,155.7,21.8,54.1,5.77,8.74,33.07,fallow,NPK,82.7,0,2.35
32.12,64.16,1115.2,15.91,123.6,24.02,8.17,157.4,565.3,238.3,123.8,46.0,103.8,6.81,15.84,15.17,cotton,DAP,236.3,0,2.44
29.5,66.68,923.4,16.99,144.0,15.7,4.05,255.1,463.3,197.8,64.1,54.2,119.6,7.25,10.65,19.33,corn,none,239.4,0,2.77
33.07,66.1,521.7,23.77,133.6,22.62,10.54,372.4,412.2,242.7,75.8,72.6,36.9,7.07,11.47,31.54,sorghum,none,224.4,1,2.68
32.06,44.12,752.3,22.39,156.7,19.11,9.88,341.3,592.4,280.8,65.4,75.7,72.6,6.49,12.03,28.41,wheat,DAP,100.1,3,2.85
22.8,79.49,892.2,15.14,136.3,19.64,14.84,119.7,396.9,395.8,141.9,51.7,102.2,7.13,6.27,32.89,soybean,DAP,221.6,0,2.21
33.39,51.95,466.8,17.48,125.7,25.16,3.98,307.8,368.7,381.3,64.1,65.2,101.0,8.38,24.72,16.14,cotton,DAP,149.5,2,2.21
28.09,45.83,1105.9,17.14,148.6,15.64,10.08,271.6,511.9,358.6,163.1,46.4,98.4,6.12,5.63,26.94,soybean,DAP,169.0,1,3.39
32.11,79.99,1042.9,17.71,131.7,16.36,0.78,372.2,416.0,366.7,53.1,64.8,61.4,7.46,18.25,26.38,wheat,urea,218.1,0,3.53
33.44,83.0,804.2,17.48,141.0,28.49,1.7,136.7,551.6,240.4,87.4,32.3,70.8,5.63,12.42,15.71,corn,none,55.9,0,2.28
24.77,78.8,1173.7,15.63,147.9,11.12,0.06,260.2,347.2,297.2,183.6,42.3,83.5,5.7,17.92,25.27,fallow,none,122.6,0,1.96
21.65,76.43,734.2,19.59,156.0,19.71,14.99,363.8,562.0,368.5,157.8,58.1,117.7,7.16,12.12,27.19,sorghum,urea,213.1,2,2.76
23.42,69.49,1187.3,22.33,151.7,28.26,12.03,223.0,413.3,217.9,60.9,21.1,59.5,5.81,18.48,18.83,cotton,none,212.8,0,1.85
26.41,64.79,934.3,21.07,147.1,22.21,11.8,244.6,300.1,388.5,173.2,63.3,113.1,5.57,19.58,20.47,sorghum,DAP,219.7,0,2.68
32.27,43.91,907.7,21.73,147.2,20.93,7.65,121.1,350.8,224.7,124.0,70.1,54.2,6.01,18.81,27.81,sorghum,NPK,83.8,0,2.53
32.91,58.38,532.8,15.81,157.8,14.99,4.5,183.4,673.4,280.3,177.0,43.9,119.0,7.19,7.28,24.37,sorghum,none,191.2,1,2.67
20.1,56.77,1105.5,24.51,131.8,16.87,2.27,197.4,646.9,312.9,140.1,46.9,90.3,7.61,18.14,32.16,sorghum,NPK,79.3,2,3.07
27.66,51.69,742.0,23.38,120.0,27.04,4.27,383.5,393.4,385.2,152.3,71.1,71.7,6.11,10.6,21.85,wheat,NPK,207.0,0,2.74
26.26,72.55,529.8,23.05,130.9,21.18,5.64,184.8,611.3,173.4,199.0,66.5,85.2,7.5,5.58,20.33,sorghum,urea,99.0,1,2.84
23.33,62.31,410.1,23.23,128.7,20.29,11.34,238.3,543.4,323.8,84.9,37.3,54.5,6.05,13.3,34.7,fallow,organic,197.6,1,2.89
21.8,43.65,847.8,24.33,146.5,11.99,8.09,301.4,688.4,256.2,143.6,39.4,54.7,7.34,13.67,33.22,sorghum,none,141.0,0,2.71
25.06,49.91,821.9,20.44,145.3,10.32,1.16,148.7,449.4,180.6,119.0,60.7,40.2,6.74,14.34,15.58,wheat,urea,247.3,0,2.77
34.14,70.75,975.5,17.0,143.7,29.27,0.27,245.9,572.6,333.0,55.9,53.8,40.3,7.46,19.1,30.41,soybean,urea,166.0,1,3.46
24.85,43.43,1112.2,21.17,120.6,17.54,1.53,321.6,325.4,265.7,52.2,29.7,61.3,8.49,11.18,17.21,wheat,NPK,176.5,1,2.69
27.78,78.3,463.5,22.43,149.2,22.06,6.16,360.1,458.5,298.3,67.9,38.6,98.7,8.31,11.31,15.55,fallow,none,123.6,2,3.3
30.55,62.28,985.2,22.38,132.9,11.59,14.0,287.9,685.5,196.9,147.4,74.0,84.7,5.51,6.21,20.47,fallow,urea,196.9,1,2.85
25.45,61.63,549.9,20.21,146.6,23.66,9.56,300.7,515.6,244.4,135.1,61.3,39.2,8.16,18.74,20.39,corn,DAP,149.0,0,2.17
34.58,66.66,1086.5,15.68,142.3,28.65,12.03,137.9,415.2,285.2,133.0,79.2,106.7,5.7,16.36,31.39,wheat,urea,53.6,0,2.19
34.44,77.11,1055.3,18.71,133.7,21.51,7.0,383.7,348.1,221.5,54.8,66.0,84.1,8.36,11.99,29.21,soybean,DAP,171.7,1,2.86
23.78,55.65,832.6,24.21,125.4,12.52,5.42,139.8,581.4,159.5,120.4,76.5,116.5,6.35,19.1,34.63,corn,organic,216.1,2,2.94
27.46,70.51,968.2,20.84,123.8,21.63,1.63,332.4,557.9,388.5,188.7,33.0,90.3,6.65,15.75,29.23,corn,DAP,97.4,0,3.31
24.51,65.46,651.5,20.38,153.3,25.33,13.14,179.4,449.6,253.4,109.6,66.3,45.8,5.77,14.38,23.37,cotton,DAP,94.2,3,2.29
24.27,52.02,776.9,17.69,156.7,18.13,11.75,380.1,680.4,320.2,143.7,21.2,72.6,5.84,15.23,28.98,sorghum,NPK,171.8,1,2.19
20.55,79.54,1057.3,18.68,146.0,27.6,2.52,316.0,308.9,223.3,167.0,60.2,88.4,7.68,17.73,34.99,corn,urea,213.6,0,2.71
29.14,75.88,767.4,23.95,124.1,22.97,7.68,326.1,421.5,206.5,167.6,48.2,32.5,8.33,18.2,29.2,corn,organic,99.9,1,3.35
27.54,69.63,686.2,21.66,136.1,27.98,7.31,165.7,668.4,222.1,127.9,40.8,31.3,7.33,10.78,30.23,fallow,urea,236.5,0,3.46
20.77,78.28,795.4,22.87,149.2,22.47,9.38,232.9,428.4,222.8,178.7,71.7,41.6,7.65,7.81,33.77,soybean,DAP,235.5,1,3.49
24.18,79.03,1062.6,19.54,151.2,12.63,14.19,285.3,400.9,263.3,108.7,71.3,52.6,7.79,8.13,17.27,corn,DAP,90.1,1,3.12
33.62,71.88,668.2,21.3,124.7,16.19,8.7,331.0,513.7,263.0,183.3,21.3,68.7,6.29,17.79,29.1,soybean,urea,102.8,0,3.23
23.59,77.67,539.0,17.48,120.0,14.04,8.1,131.2,629.5,249.1,86.0,56.6,73.9,5.64,22.46,32.02,sorghum,organic,190.1,2,2.31
22.17,71.39,969.6,22.05,148.5,28.18,0.75,388.7,341.3,140.4,92.0,42.1,42.4,5.51,13.19,34.09,fallow,organic,240.3,2,3.29
27.34,70.61,1060.8,19.28,134.3,25.21,0.94,367.1,677.2,248.8,58.0,44.9,90.6,6.55,8.39,19.22,cotton,NPK,192.0,0,1.91
34.78,67.84,480.5,19.43,130.2,23.53,2.81,181.1,618.0,150.7,169.3,69.9,83.7,6.22,20.13,25.08,cotton,DAP,139.0,0,2.38
23.63,73.87,591.9,21.49,120.5,16.02,0.49,346.8,372.5,137.8,112.6,38.6,56.5,5.69,21.65,28.61,sorghum,DAP,83.8,0,2.36
30.08,47.14,513.6,24.36,141.6,13.68,11.15,255.5,584.8,379.8,84.4,76.6,31.2,6.04,22.61,19.95,sorghum,NPK,142.2,2,2.92
31.42,79.64,678.4,15.64,154.0,25.13,10.85,238.5,454.0,281.5,84.8,30.8,37.0,5.87,17.14,27.01,fallow,urea,171.4,0,2.52
23.56,79.23,760.3,23.25,158.3,19.48,2.04,194.3,460.9,297.8,185.2,59.8,65.3,8.24,22.21,20.15,fallow,DAP,116.2,1,3.45
30.92,41.32,999.1,17.92,142.6,14.52,12.54,274.3,613.3,220.5,175.1,60.3,43.9,5.92,5.31,21.67,wheat,urea,152.1,0,2.35
25.52,77.16,920.9,19.44,140.6,22.33,2.32,319.0,685.1,372.7,133.0,35.1,63.9,7.11,7.14,23.83,corn,organic,76.0,0,2.6
29.48,45.8,896.7,15.22,123.4,10.81,4.52,223.3,350.7,291.4,142.4,39.5,86.5,7.28,6.85,25.58,corn,none,140.4,2,2.22
29.5,55.08,681.9,18.01,142.0,16.52,3.73,288.8,468.3,330.8,121.1,70.1,79.3,7.13,19.25,23.99,corn,NPK,68.2,2,2.7
28.04,73.46,1073.2,20.03,135.2,19.37,5.58,309.8,492.4,210.6,108.7,65.7,50.8,5.8,6.39,24.86,soybean,DAP,59.8,1,3.34
21.35,47.23,777.0,15.56,144.3,12.96,3.82,313.3,450.5,388.0,187.3,39.7,60.9,6.46,14.93,20.97,wheat,NPK,221.4,1,3.0
32.53,76.81,1183.3,19.91,135.5,29.69,7.33,115.6,445.3,346.1,68.8,52.0,85.3,5.65,14.45,18.18,corn,organic,91.0,1,2.64
24.81,77.45,907.3,24.27,129.6,14.18,6.11,357.9,320.9,356.2,112.8,23.7,107.5,6.69,11.21,15.95,soybean,organic,165.0,0,3.08
22.8,62.84,501.0,16.05,123.8,12.61,14.8,237.5,574.2,151.7,101.7,32.5,97.8,6.07,22.41,18.92,soybean,organic,79.8,0,2.21
