temp,humidity,rainfall,solar_radiation,soil_bdod,soil_cec,soil_cfvo,soil_clay,soil_sand,soil_silt,soil_nitrogen,soil_ocd,soil_ocs,soil_phh2o,soil_soc,soil_wv0010,previous_crop,previous_fertilizer,fertilizer_amount,cultivation_break,yield,yield_category
23.82,71.19,905.4,23.87,117.8,19.31,0.63,131.1,632.8,268.4,60.9,32.4,94.6,6.9,6.01,16.34,fallow,DAP,144.3,0,2.52,High
23.75,64.27,526.3,19.67,131.4,21.14,8.02,108.3,402.2,185.1,52.9,34.5,56.4,7.03,18.56,22.77,wheat,none,158.1,2,2.23,Medium
27.32,50.33,1060.0,20.16,130.0,12.95,5.52,174.3,733.6,139.7,57.6,60.5,57.1,6.51,5.37,15.19,cotton,none,99.6,2,2.54,High
27.32,61.7,1007.7,21.22,120.8,10.16,6.52,228.7,481.0,188.6,106.5,64.1,27.6,6.82,13.29,22.53,groundnut,none,40.1,0,1.89,Medium
28.34,69.37,1062.0,16.61,144.3,24.3,10.78,88.4,570.5,107.3,55.4,56.2,37.7,5.94,6.84,27.06,groundnut,NPK,78.3,1,2.58,High
30.49,75.77,604.2,19.17,122.5,23.9,2.19,224.0,424.9,84.2,60.1,54.2,60.0,6.4,8.26,18.84,fallow,NPK,103.7,2,2.43,Medium
29.24,68.53,587.6,23.24,148.9,19.6,3.13,183.2,452.8,256.7,83.0,51.5,58.4,7.44,8.0,28.4,rice,urea,170.6,2,3.04,High
28.11,61.93,824.1,23.55,152.5,18.0,4.88,215.4,520.5,198.0,116.1,29.9,47.5,6.15,13.26,22.17,wheat,none,76.7,2,2.59,High
29.22,63.42,1003.2,19.96,118.5,24.38,2.78,216.5,439.1,115.3,142.9,68.2,32.2,6.96,14.65,29.55,millet,organic,149.7,0,2.54,High
25.23,76.2,943.0,23.14,141.4,21.22,9.56,142.8,484.4,182.3,148.7,46.5,94.2,6.04,16.0,13.82,cotton,NPK,110.9,1,2.97,High
25.62,60.54,655.2,19.99,140.1,15.43,2.08,115.3,571.9,115.5,95.4,40.1,66.9,6.8,17.19,28.17,wheat,NPK,140.0,2,2.63,High
24.28,51.95,785.1,23.88,135.5,22.85,6.84,84.1,599.7,167.7,49.3,44.8,56.6,6.65,5.3,20.11,fallow,none,119.2,1,2.07,Medium
24.94,63.28,641.2,22.3,140.5,22.19,0.62,84.5,691.7,141.1,77.2,56.3,70.8,5.96,10.14,20.76,millet,NPK,40.7,0,2.16,Medium
28.31,79.95,838.5,22.64,151.2,17.26,1.0,254.1,488.1,230.4,57.5,21.1,93.2,5.95,10.23,23.84,millet,organic,39.0,2,2.48,Medium
22.92,61.39,840.5,17.49,145.3,13.97,0.14,181.8,674.5,184.3,145.9,29.0,40.9,6.46,12.25,25.92,rice,urea,121.6,0,2.32,Medium
26.34,55.79,549.9,16.04,140.8,14.16,7.11,145.2,743.7,104.4,155.9,53.1,66.7,6.55,13.61,13.38,cotton,none,70.6,1,2.14,Medium
26.31,51.35,879.7,20.04,132.1,17.37,6.55,262.4,725.6,154.4,166.1,17.5,64.8,6.87,13.83,18.55,cotton,DAP,176.1,0,2.81,High
26.94,55.13,558.2,23.86,124.7,22.83,5.9,265.4,446.0,236.7,162.4,62.0,68.2,7.02,12.36,25.73,cotton,urea,52.9,0,2.25,Medium
26.26,59.72,516.7,23.74,123.2,15.2,3.59,187.4,551.2,97.4,81.5,48.4,97.0,6.05,19.7,21.28,groundnut,DAP,50.0,2,2.15,Medium
25.12,67.23,1013.1,20.91,123.7,9.84,6.36,190.2,629.5,144.7,109.9,66.3,57.8,6.18,15.11,17.9,millet,organic,155.8,1,2.89,High
26.26,69.97,649.1,17.48,149.6,13.53,5.86,206.7,424.9,113.6,116.9,37.5,54.7,7.09,9.2,27.4,rice,NPK,65.1,0,1.84,Medium
30.93,51.28,779.1,16.07,119.8,8.17,7.82,219.6,539.9,280.8,141.4,56.1,40.1,6.21,8.87,22.89,groundnut,organic,43.3,3,1.75,Medium
31.44,78.09,1062.8,19.97,119.6,22.92,3.96,146.9,717.6,158.1,147.8,41.6,35.2,6.65,6.87,17.43,wheat,DAP,139.5,1,3.27,High
27.02,57.07,875.2,18.42,115.9,12.2,2.77,228.2,699.4,184.7,101.3,66.9,94.1,6.86,6.54,27.78,wheat,none,46.7,0,2.06,Medium
28.24,54.47,723.6,18.69,144.1,24.3,8.71,83.9,416.7,160.4,79.8,63.4,37.8,6.44,4.33,25.07,groundnut,organic,76.9,1,1.31,Low
23.16,65.92,1011.1,22.67,115.2,14.44,8.37,241.8,670.1,140.2,78.3,24.2,66.4,6.24,19.49,19.23,groundnut,DAP,109.2,1,2.54,High
25.17,70.33,628.7,16.71,151.8,17.06,1.85,215.2,670.5,290.1,116.9,29.9,96.3,7.43,17.09,22.92,fallow,organic,109.5,0,1.89,Medium
26.15,59.22,793.0,16.73,153.9,20.93,8.69,254.0,424.7,252.5,145.0,26.5,36.9,7.03,15.21,26.46,fallow,none,86.0,1,2.14,Medium
30.66,70.08,839.4,19.54,124.4,8.69,7.9,204.1,629.1,101.4,176.7,38.2,25.2,5.85,12.51,14.14,millet,none,151.1,1,2.84,High
24.5,58.83,851.5,19.31,116.6,14.99,10.87,199.9,665.5,234.8,120.3,18.5,33.9,7.39,13.5,25.84,rice,none,39.4,1,2.19,Medium
26.83,77.07,510.5,16.51,153.6,14.82,8.52,126.3,471.0,177.4,68.9,18.7,49.3,6.5,5.24,16.72,groundnut,urea,53.5,0,1.48,Low
31.86,76.42,726.2,20.36,123.4,8.65,11.38,163.3,657.1,133.3,155.0,50.9,44.6,6.13,13.73,18.93,wheat,none,170.1,2,2.95,High
27.19,52.14,808.9,19.46,136.4,19.91,9.04,236.6,702.7,266.2,129.0,35.3,85.1,6.1,12.49,15.54,millet,DAP,81.7,0,1.68,Medium
28.13,54.51,774.7,23.94,141.0,20.9,0.97,181.6,588.2,277.8,88.6,63.2,56.2,7.48,13.6,18.05,groundnut,organic,43.6,1,1.99,Medium
23.21,70.94,993.2,16.53,138.7,18.11,9.93,228.4,461.8,266.1,165.4,45.9,86.7,6.75,11.52,23.76,groundnut,NPK,174.5,0,2.03,Medium
30.26,50.0,933.8,16.94,148.8,15.24,2.87,276.1,727.9,292.2,126.9,61.0,87.4,6.09,7.82,27.63,cotton,organic,61.5,0,2.47,Medium
28.03,74.65,1059.3,17.27,134.4,11.33,8.29,170.9,559.1,247.2,129.2,17.8,57.0,6.45,8.64,26.34,fallow,DAP,155.0,0,2.4,Medium
27.45,60.69,634.3,18.6,135.9,11.3,6.28,121.4,664.6,201.5,58.4,51.4,44.7,7.19,16.58,28.71,cotton,urea,175.8,2,2.52,High
25.43,72.34,593.7,21.32,155.0,19.41,10.18,168.9,683.3,110.4,149.9,16.9,67.2,7.09,4.44,21.2,millet,organic,162.9,1,3.22,High
25.04,51.33,621.9,23.73,137.4,16.27,1.19,147.3,634.7,216.5,169.5,63.5,39.8,6.13,8.74,29.89,millet,NPK,85.5,0,2.27,Medium
26.17,56.28,893.8,23.26,122.9,19.08,8.06,122.3,453.1,82.3,172.3,34.4,91.7,6.26,19.04,20.32,millet,none,81.5,1,2.6,High
28.81,52.12,651.0,19.54,121.7,23.61,4.03,277.9,723.2,191.4,40.3,46.4,30.0,6.33,18.17,28.7,millet,none,132.6,1,2.33,Medium
30.75,55.39,898.7,16.57,149.7,18.83,3.57,170.4,695.6,289.5,101.1,60.9,85.5,6.85,11.27,14.79,millet,urea,62.7,1,2.21,Medium
27.1,61.53,910.0,21.16,129.4,9.11,2.21,276.1,605.5,237.0,88.5,55.5,54.0,5.87,15.54,13.75,cotton,none,134.9,0,2.38,Medium
28.69,64.75,548.8,19.34,152.9,19.35,4.36,221.9,594.2,191.6,75.7,55.9,31.1,7.26,15.18,17.61,groundnut,DAP,116.4,0,1.7,Medium
27.86,77.48,944.0,16.19,147.2,8.34,0.04,156.3,515.8,124.4,49.7,15.5,56.7,7.0,5.78,14.95,millet,none,135.8,1,2.3,Medium
28.25,68.82,688.4,22.54,152.8,24.21,9.25,80.1,722.2,219.8,89.9,47.3,61.8,7.05,6.43,22.42,groundnut,organic,80.3,2,2.51,High
28.75,71.19,632.7,20.23,137.5,12.49,5.79,158.8,588.2,222.2,128.2,64.6,89.0,6.82,5.32,21.42,millet,none,74.8,1,1.94,Medium
30.42,52.46,655.3,19.5,116.7,17.18,8.89,142.3,590.5,188.9,172.5,42.7,51.3,5.81,14.7,27.92,wheat,urea,81.7,0,2.35,Medium
22.83,58.6,1037.8,21.79,149.0,18.28,3.58,171.7,618.3,172.9,81.8,45.3,54.9,6.94,8.9,23.95,millet,none,65.9,2,2.57,High
29.64,79.75,863.1,22.87,138.2,11.68,8.51,194.0,537.1,87.2,88.8,17.6,96.7,6.9,18.35,15.88,cotton,NPK,172.0,1,3.63,Very High
24.44,66.81,889.8,23.46,149.7,10.28,8.04,205.6,514.2,295.9,122.2,18.9,53.0,7.06,14.17,19.06,millet,urea,110.2,1,3.28,High
23.94,73.63,630.3,18.65,126.4,21.7,9.69,106.4,671.1,135.5,152.5,42.5,29.7,7.45,7.2,26.14,millet,organic,95.5,1,2.35,Medium
27.72,50.97,716.0,17.47,149.3,19.77,3.28,203.8,665.1,102.7,154.0,32.0,68.2,5.83,19.44,17.83,millet,NPK,165.4,0,2.33,Medium
22.96,52.52,986.3,18.64,123.0,18.4,11.65,188.8,606.1,119.6,116.5,19.3,33.0,6.58,14.39,29.35,rice,none,56.5,1,1.8,Medium
30.85,53.28,704.1,23.81,126.3,10.93,6.31,105.3,634.0,194.9,96.1,22.4,62.1,6.69,19.26,12.16,groundnut,urea,93.4,1,2.25,Medium
28.27,50.46,987.6,16.79,120.8,20.85,3.81,121.0,610.9,117.3,100.0,20.0,32.6,5.84,11.19,15.39,millet,DAP,45.0,3,2.29,Medium
29.23,77.66,620.0,23.6,120.5,18.99,5.52,186.2,560.2,112.9,141.1,48.4,99.9,6.35,16.34,12.11,rice,NPK,101.7,0,2.8,High
22.16,57.61,939.4,20.95,119.2,17.89,10.92,212.1,687.0,171.0,175.7,40.2,51.1,6.73,14.53,19.56,wheat,organic,140.9,2,2.88,High
27.94,79.9,570.1,16.08,136.4,15.78,7.25,113.9,451.1,216.5,171.7,56.2,57.2,5.81,17.74,28.22,wheat,none,129.7,3,2.95,High
27.57,72.14,993.4,22.87,142.0,10.79,7.74,212.7,676.7,141.9,113.8,45.9,92.2,6.24,8.12,15.12,groundnut,DAP,37.1,0,2.34,Medium
23.59,57.52,903.6,21.45,123.5,11.22,10.35,142.7,484.1,192.0,143.5,21.9,48.0,5.92,18.8,19.87,wheat,none,70.2,3,2.25,Medium
23.53,79.75,1074.4,17.16,151.6,22.08,1.43,245.9,433.8,170.5,106.6,67.0,43.0,7.34,14.26,14.51,wheat,organic,97.5,1,2.41,Medium
28.96,76.06,517.7,18.73,119.0,11.75,3.83,157.7,729.1,255.3,87.2,50.5,30.8,6.74,6.31,19.1,rice,NPK,165.3,1,2.22,Medium
25.19,54.95,579.1,22.98,119.4,23.45,9.05,242.8,613.7,100.1,137.1,41.3,68.8,7.08,19.06,14.97,rice,NPK,76.2,0,2.43,Medium
28.92,55.56,516.4,21.83,150.4,10.59,8.77,126.9,616.1,246.2,165.0,38.6,68.3,7.03,19.87,12.18,groundnut,none,144.4,1,2.43,Medium
27.54,70.41,510.1,18.55,142.7,19.35,11.83,227.7,720.1,200.8,105.1,58.2,71.2,6.86,9.71,22.96,wheat,none,112.3,3,2.94,High
25.89,52.35,1007.6,22.35,122.3,14.98,5.12,186.9,476.6,123.9,159.2,18.6,29.5,6.93,10.57,14.11,rice,urea,135.9,0,2.57,High
31.25,67.54,878.9,18.04,154.4,18.62,0.77,209.1,578.6,108.3,122.4,60.4,58.8,7.46,7.65,22.7,rice,none,32.1,1,1.87,Medium
30.42,52.0,886.3,20.4,116.3,8.75,7.99,170.9,749.8,215.8,92.2,48.5,69.1,6.06,13.15,28.36,groundnut,NPK,92.1,1,2.18,Medium
25.57,56.64,725.7,23.47,119.3,14.05,8.47,277.1,532.6,104.0,60.3,21.0,55.5,7.4,10.46,14.27,millet,DAP,152.6,1,2.49,Medium
22.44,78.45,532.0,19.49,126.3,11.24,7.49,219.0,717.3,257.0,49.7,50.5,47.1,6.12,15.83,12.73,rice,none,138.3,1,2.22,Medium
25.05,64.96,758.7,20.45,144.4,9.99,6.84,157.7,641.8,214.0,176.5,64.0,82.3,6.22,5.45,25.68,rice,DAP,124.1,0,2.69,High
25.98,67.21,594.4,22.21,143.6,8.5,3.33,228.2,625.6,231.6,51.0,39.3,56.4,6.13,5.22,22.59,rice,urea,85.5,2,2.21,Medium
29.05,58.09,1060.8,17.63,146.9,8.69,3.93,227.0,449.3,215.5,178.7,56.8,84.9,6.39,4.87,26.51,groundnut,NPK,114.5,1,1.95,Medium
31.95,63.2,1027.1,19.59,136.8,19.95,11.32,104.5,669.6,278.7,138.3,57.5,30.1,6.0,13.69,25.84,rice,DAP,30.5,1,2.73,High
25.56,53.99,680.6,23.36,139.0,16.46,7.92,126.3,427.6,89.3,130.6,49.9,26.3,6.05,18.56,15.36,groundnut,urea,71.9,1,2.28,Medium
29.63,65.5,510.4,21.21,128.8,13.42,4.92,222.2,460.4,205.5,106.9,48.9,38.6,7.44,13.7,20.68,millet,urea,34.0,0,2.09,Medium
27.93,51.62,512.6,21.61,130.4,9.49,8.77,153.5,682.7,239.4,172.9,33.5,45.5,6.4,9.4,22.45,wheat,organic,110.7,0,2.36,Medium
28.92,51.45,817.3,23.7,118.9,10.95,5.72,161.3,572.2,142.4,120.2,27.1,47.8,7.16,17.24,19.36,wheat,urea,72.9,1,2.81,High
23.51,70.39,993.9,20.71,119.7,12.6,6.33,179.3,579.1,182.7,99.6,34.8,62.0,6.11,10.98,23.76,fallow,organic,130.9,1,2.78,High
25.99,51.65,705.4,22.96,142.9,16.27,10.92,235.7,590.1,110.6,105.1,48.9,65.5,6.92,11.78,26.71,fallow,none,177.5,0,2.05,Medium
24.41,65.64,894.5,23.94,116.0,23.92,10.35,173.0,465.2,173.0,155.0,53.1,86.7,6.48,10.62,22.74,rice,NPK,140.9,0,2.61,High
25.43,57.98,1014.8,21.41,133.1,13.77,2.0,135.6,482.7,119.3,162.5,15.6,88.1,5.83,16.13,26.16,groundnut,organic,172.5,0,2.3,Medium
27.13,55.63,881.7,21.48,141.5,14.07,7.81,215.9,714.4,264.0,124.7,32.2,66.6,6.56,18.03,16.98,millet,DAP,143.9,1,2.86,High
28.67,67.2,503.7,17.45,134.3,20.13,11.24,252.9,584.0,131.4,42.2,49.3,93.1,6.73,13.3,22.27,groundnut,urea,174.3,3,1.6,Medium
23.06,58.89,830.7,19.7,117.8,16.25,9.99,184.3,589.1,176.9,51.9,44.6,67.9,7.1,11.05,18.2,wheat,NPK,124.9,0,2.51,High
23.31,63.69,604.9,21.9,145.7,12.8,4.53,220.2,460.1,184.0,173.2,62.3,32.3,6.86,13.52,16.2,wheat,organic,68.5,0,2.12,Medium
25.22,54.17,980.0,18.74,134.0,10.65,5.96,247.0,678.6,267.9,118.0,66.7,56.9,6.26,7.44,29.49,fallow,DAP,80.6,0,2.05,Medium
28.62,53.79,747.4,16.93,126.7,8.66,9.0,111.6,658.8,219.6,175.0,53.0,97.0,6.21,6.77,24.42,millet,urea,31.4,0,2.06,Medium
30.47,53.2,763.5,16.17,121.8,11.76,11.07,199.9,470.0,202.4,117.6,54.2,88.9,6.94,12.08,14.1,cotton,DAP,134.3,2,2.62,High
27.53,52.15,682.3,21.35,139.6,23.68,7.06,226.0,582.5,90.1,151.3,34.4,58.1,6.38,7.68,25.18,wheat,NPK,105.4,1,2.48,Medium
30.54,66.61,637.7,16.27,152.0,24.9,4.08,105.0,711.9,103.9,132.4,18.0,76.9,7.06,17.98,26.96,wheat,DAP,74.7,1,3.14,High
25.85,72.68,596.0,19.91,125.6,21.67,5.69,171.0,433.3,130.7,137.0,61.8,42.6,6.5,4.28,20.11,groundnut,DAP,127.6,1,2.15,Medium
25.17,73.77,744.6,23.06,150.0,15.85,10.42,115.5,615.1,250.9,115.8,21.1,92.3,6.9,7.12,24.65,rice,none,92.7,0,2.36,Medium
25.54,78.74,822.5,22.59,141.5,20.15,6.63,172.7,617.0,96.8,146.3,20.4,74.1,7.14,6.07,28.42,groundnut,organic,165.0,0,2.42,Medium
23.71,55.05,1040.6,21.76,115.7,22.0,4.95,81.6,424.2,251.3,109.8,67.4,90.2,5.92,12.7,29.98,cotton,NPK,86.2,2,2.76,High
30.29,54.07,741.2,22.88,149.0,14.11,5.37,228.0,645.9,261.7,152.5,61.5,48.1,6.67,5.22,21.9,rice,NPK,35.0,0,2.45,Medium
25.39,64.1,693.1,21.99,130.8,11.02,2.33,244.1,427.1,189.1,80.9,36.3,34.5,6.25,16.34,23.29,millet,none,64.1,1,2.25,Medium
27.52,75.83,990.9,16.15,148.8,10.76,8.18,245.6,489.9,287.5,46.2,46.2,81.4,7.26,18.45,19.09,wheat,DAP,95.2,1,2.82,High
27.79,73.01,917.7,19.77,123.0,17.76,4.33,241.4,722.2,211.8,61.5,38.5,57.5,6.32,17.44,25.48,wheat,urea,59.1,0,2.31,Medium
27.22,66.75,568.9,16.12,135.7,9.06,4.02,91.1,650.6,297.0,92.9,50.6,58.9,7.11,8.08,16.88,rice,NPK,109.1,1,2.01,Medium
22.03,54.7,924.4,20.44,123.2,24.89,9.7,138.2,524.7,246.6,163.4,34.7,31.5,7.4,6.63,18.48,cotton,none,132.8,0,2.74,High
31.88,61.74,1070.7,17.89,134.6,15.59,6.93,127.9,533.2,90.4,163.0,33.8,57.5,6.19,16.55,23.88,millet,NPK,135.8,1,2.82,High
31.05,71.58,798.3,19.53,151.9,11.89,6.57,175.7,403.4,144.5,88.5,41.0,36.5,6.09,5.7,26.93,groundnut,none,37.6,0,1.49,Low
24.08,61.2,794.4,17.63,135.2,16.8,2.33,263.9,412.7,286.0,99.5,42.8,46.7,7.47,7.86,28.73,groundnut,none,160.1,1,2.01,Medium
24.92,51.17,934.1,22.55,154.7,12.23,9.36,117.3,709.1,196.5,116.8,24.9,30.3,6.93,10.39,14.66,rice,NPK,155.6,3,3.17,High
27.2,67.52,619.9,17.47,125.8,18.49,10.74,237.5,438.9,121.4,133.1,26.9,31.0,6.1,6.66,27.9,cotton,organic,172.1,1,2.19,Medium
31.02,71.6,720.2,18.61,139.1,21.96,5.79,151.0,669.6,250.7,101.5,27.7,41.7,6.33,5.37,25.84,cotton,urea,87.3,1,2.27,Medium
31.84,71.44,690.2,16.12,153.7,15.19,11.43,101.9,432.0,277.8,138.8,38.1,31.7,6.5,5.04,13.88,millet,NPK,97.4,0,2.08,Medium
24.58,54.95,1097.5,18.48,145.2,20.53,6.58,151.4,599.3,96.3,113.1,66.4,45.6,7.13,12.46,25.93,rice,NPK,47.5,1,2.27,Medium
27.64,60.08,597.0,16.21,142.7,18.07,2.5,121.6,469.2,117.0,63.8,29.1,80.4,6.6,5.66,14.97,groundnut,urea,72.7,1,1.54,Medium
30.07,62.28,604.4,19.6,144.7,10.88,0.47,120.6,733.0,225.4,158.0,60.1,35.7,7.2,18.45,24.28,rice,none,112.2,0,2.11,Medium
25.94,62.61,776.5,16.22,128.2,11.64,8.62,277.4,741.2,252.0,96.7,34.8,93.0,7.08,18.33,16.3,cotton,NPK,73.7,1,2.67,High
29.31,53.42,664.6,19.11,126.6,17.26,4.91,139.8,525.4,136.7,54.1,37.7,38.9,6.06,6.05,18.15,groundnut,urea,145.2,0,1.54,Medium
23.61,61.57,1022.4,20.85,120.8,22.43,10.36,239.9,687.5,229.9,72.2,21.8,72.4,6.63,12.06,17.13,cotton,NPK,59.2,2,3.04,High
28.01,65.2,761.9,23.28,139.1,15.55,9.0,81.4,500.0,166.5,105.1,29.0,31.3,6.74,6.87,16.94,cotton,none,120.8,1,1.86,Medium
30.66,71.32,910.9,20.43,151.9,18.64,2.92,93.1,662.2,285.5,116.2,45.8,36.5,6.8,14.52,18.99,fallow,none,52.5,1,2.96,High
31.84,67.08,990.9,20.12,145.6,20.9,3.63,202.2,461.8,239.9,166.3,43.3,63.4,7.17,7.24,25.77,rice,none,93.5,2,2.37,Medium
22.79,62.15,663.2,16.38,154.4,21.57,1.04,216.9,623.8,144.8,86.5,33.9,56.9,5.96,11.37,29.71,groundnut,NPK,169.0,1,1.72,Medium
26.28,77.83,939.6,18.99,154.7,19.01,8.63,208.8,734.6,164.4,162.9,45.7,77.8,7.02,4.57,24.39,millet,DAP,63.9,1,2.68,High
24.05,67.94,739.5,19.15,132.4,21.29,9.82,254.3,464.0,167.4,59.1,69.9,49.2,6.52,4.25,15.44,millet,DAP,179.3,0,1.85,Medium
26.51,79.24,652.7,18.59,135.7,18.29,5.77,125.2,457.5,259.3,67.4,61.9,98.9,7.29,18.64,29.7,groundnut,NPK,33.8,1,2.09,Medium
27.48,76.02,1034.1,23.11,148.0,23.72,7.4,144.3,556.2,286.9,65.7,17.4,27.1,7.16,16.75,19.14,rice,urea,86.6,2,3.18,High
22.93,70.21,839.0,19.17,145.6,13.82,2.33,192.6,735.6,206.9,122.4,51.7,30.1,5.86,7.12,24.03,cotton,NPK,124.6,2,2.49,Medium
24.97,76.98,797.8,17.69,146.0,22.22,11.59,109.6,555.7,188.3,117.4,47.0,87.3,6.72,7.16,17.6,groundnut,urea,31.9,1,1.87,Medium
31.28,79.74,608.4,22.28,137.3,19.01,3.82,184.3,473.4,275.2,83.6,53.8,47.5,7.19,11.22,19.3,cotton,DAP,136.2,2,2.64,High
27.69,56.63,1041.0,22.5,138.5,17.74,8.86,201.9,409.9,205.2,150.6,17.5,34.4,5.84,13.27,23.86,groundnut,none,93.5,0,1.81,Medium
26.57,70.73,882.7,18.76,148.7,20.21,6.65,174.4,527.2,99.1,121.0,28.5,70.1,7.09,19.83,26.33,cotton,NPK,126.6,1,2.77,High
29.54,77.56,1068.6,22.57,152.7,8.39,6.95,236.3,657.7,204.3,135.6,18.3,45.0,7.48,18.23,16.06,wheat,urea,166.8,2,3.32,High
29.42,50.52,526.6,21.65,146.1,21.28,11.72,243.5,500.6,136.5,78.3,52.6,78.1,5.94,6.26,12.52,millet,DAP,94.4,3,2.0,Medium
22.49,73.98,570.0,16.88,145.9,11.9,11.53,134.0,557.5,228.5,121.5,21.4,91.8,6.83,11.4,21.7,millet,DAP,130.1,2,2.64,High
29.09,52.68,1026.4,18.95,121.3,10.61,3.14,133.2,464.9,282.4,156.0,69.2,42.6,5.84,13.68,16.89,fallow,urea,150.9,3,2.69,High
30.39,77.5,771.1,22.82,149.2,19.3,7.65,100.6,646.9,123.0,94.3,58.2,72.5,7.18,13.15,23.17,millet,organic,39.9,0,2.25,Medium
23.66,68.36,780.2,18.98,152.8,23.35,2.11,277.8,554.1,157.9,163.8,49.5,32.3,6.66,4.88,13.96,wheat,organic,32.7,2,1.74,Medium
29.81,54.86,634.0,22.92,125.9,17.35,9.07,115.8,432.6,197.8,75.3,27.0,69.0,6.33,6.24,28.91,millet,NPK,57.6,1,1.69,Medium
24.87,51.18,793.1,19.56,122.7,11.97,7.18,105.5,515.9,223.6,173.4,19.6,54.1,6.23,15.83,18.01,rice,none,46.2,0,2.04,Medium
25.06,74.83,763.1,20.52,121.6,20.57,11.06,186.7,653.1,166.8,131.7,39.3,84.4,7.48,11.22,22.6,fallow,urea,115.9,0,2.5,High
28.65,54.18,932.5,19.12,115.9,23.28,8.27,242.2,634.3,283.5,162.1,61.6,81.8,7.14,7.52,26.05,cotton,DAP,111.1,3,3.2,High
23.11,78.19,881.3,20.91,131.3,20.49,5.8,98.0,667.2,116.5,95.8,55.5,85.9,6.06,18.23,25.3,groundnut,NPK,176.4,3,3.36,High
28.65,52.73,979.4,20.19,122.2,21.74,3.51,133.2,717.8,167.5,98.1,43.1,51.2,5.98,7.36,20.39,fallow,urea,46.9,1,2.23,Medium
30.88,75.14,969.9,22.74,120.1,23.9,1.97,266.0,582.0,229.6,123.2,50.1,48.7,7.24,10.78,12.75,wheat,DAP,32.7,0,2.59,High
28.96,62.71,752.9,23.74,144.2,16.92,3.05,182.2,448.2,250.6,44.9,62.8,89.3,6.44,6.1,22.34,groundnut,none,46.9,2,1.9,Medium
26.4,76.18,680.9,18.31,145.5,23.35,9.81,114.7,571.0,235.9,174.0,25.5,62.4,5.87,7.17,20.24,millet,organic,40.1,1,2.18,Medium
26.38,73.06,696.1,17.23,143.1,21.64,11.22,124.0,401.4,178.6,166.0,25.4,92.5,6.69,19.86,14.83,millet,DAP,126.8,3,2.86,High
29.65,75.59,1094.0,18.62,141.6,13.95,10.19,229.5,588.3,290.9,88.9,67.6,63.8,6.78,13.37,19.69,fallow,none,31.4,1,2.57,High
